번호,시트,제품명,칼라,사이즈,수량
1,OH-오즈,바다공주LED,실버,140,120
2,OH-오즈,바다공주LED,실버,150,240
3,OH-오즈,바다공주LED,실버,160,240
4,OH-오즈,바다공주LED,실버,170,240
5,OH-오즈,바다공주LED,핑크,140,200
6,OH-오즈,바다공주LED,핑크,150,400
7,OH-오즈,바다공주LED,핑크,160,400
8,OH-오즈,바다공주LED,핑크,170,400
9,OH-오즈,바다공주LED,핑크,180,400
10,OH-오즈,장화-팅클텝LED,핑크,150,150
11,OH-오즈,장화-팅클텝LED,핑크,160,194
12,OH-오즈,장화-팅클텝LED,핑크,170,193
13,OH-오즈,장화-팅클텝LED,핑크,180,188
14,OH-오즈,장화-팅클텝LED,핑크,190,150
15,OH-오즈,장화-팅클텝LED,핑크,200,97
16,OH-오즈,아쿠아-윈디에어,블랙,140,320
17,OH-오즈,아쿠아-윈디에어,블랙,150,200
18,OH-오즈,아쿠아-윈디에어,블랙,160,240
19,OH-오즈,아쿠아-윈디에어,블랙,170,160
20,OH-오즈,아쿠아-윈디에어,블랙,180,160
21,OH-오즈,아쿠아-윈디에어,블랙,190,120
22,OH-오즈,아쿠아-윈디에어,블랙,200,80
23,OH-오즈,아쿠아-윈디에어,핑크,140,320
24,OH-오즈,아쿠아-윈디에어,핑크,150,280
25,OH-오즈,아쿠아-윈디에어,핑크,160,280
26,OH-오즈,아쿠아-윈디에어,핑크,170,200
27,OH-오즈,아쿠아-윈디에어,핑크,180,160
28,OH-오즈,아쿠아-윈디에어,핑크,190,40
29,OH-오즈,아쿠아-윈디에어,핑크,200,80
30,OH-오즈,아쿠아-윈디에어,화이트,140,320
31,OH-오즈,아쿠아-윈디에어,화이트,150,320
32,OH-오즈,아쿠아-윈디에어,화이트,160,280
33,OH-오즈,아쿠아-윈디에어,화이트,170,200
34,OH-오즈,아쿠아-윈디에어,화이트,180,160
35,OH-오즈,아쿠아-윈디에어,화이트,190,120
36,OH-오즈,아쿠아-윈디에어,화이트,200,80
37,OH-오즈,슬립온-과일톡톡,핑크,130,120
38,OH-오즈,슬립온-과일톡톡,핑크,140,160
39,OH-오즈,슬립온-과일톡톡,핑크,150,160
40,OH-오즈,슬립온-과일톡톡,핑크,160,120
41,OH-오즈,슬립온-과일톡톡,핑크,170,80
42,OH-오즈,슬립온-과일톡톡,핑크,180,40
43,OH-오즈,루비하트LED,퍼플,140,1
44,OH-오즈,루비하트LED,퍼플,150,43
45,OH-오즈,루비하트LED,퍼플,160,41
46,OH-오즈,루비하트LED,퍼플,170,39
47,OH-오즈,루비하트LED,퍼플,180,119
48,OH-오즈,루비하트LED,핑크,140,18
49,OH-오즈,루비하트LED,핑크,150,17
50,OH-오즈,루비하트LED,핑크,160,20
51,OH-오즈,루비하트LED,핑크,170,21
52,OH-오즈,루비하트LED,핑크,180,100
