도매인,파일명,시트,제품명,칼라,사이즈,수량
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","실버",140,120
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","실버",150,240
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","실버",160,240
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","실버",170,240
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","핑크",140,200
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","핑크",150,400
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","핑크",160,400
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","핑크",170,400
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"바다공주LED","핑크",180,400
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"장화-팅클텝LED","핑크",150,150
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"장화-팅클텝LED","핑크",160,194
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"장화-팅클텝LED","핑크",170,193
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"장화-팅클텝LED","핑크",180,188
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"장화-팅클텝LED","핑크",190,150
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"장화-팅클텝LED","핑크",200,97
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",140,320
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",150,200
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",160,240
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",170,160
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",180,160
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",190,120
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","블랙",200,80
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",140,320
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",150,280
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",160,280
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",170,200
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",180,160
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",190,40
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","핑크",200,80
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",140,320
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",150,320
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",160,280
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",170,200
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",180,160
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",190,120
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"아쿠아-윈디에어","화이트",200,80
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"슬립온-과일톡톡","핑크",130,120
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"슬립온-과일톡톡","핑크",140,160
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"슬립온-과일톡톡","핑크",150,160
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"슬립온-과일톡톡","핑크",160,120
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"슬립온-과일톡톡","핑크",170,80
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"슬립온-과일톡톡","핑크",180,40
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","퍼플",140,1
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","퍼플",150,43
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","퍼플",160,41
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","퍼플",170,39
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","퍼플",180,119
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","핑크",140,18
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","핑크",150,17
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","핑크",160,20
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","핑크",170,21
dammom,"20260115-OH-닝보출항.xls",OH-오즈,"루비하트LED","핑크",180,100
