상태,도매인,패킹_상품명,패킹_컬러,DB_상품코드,DB_상품명,DB_옵션,DB_바코드,유사도
성공,dammom,"바다공주LED","실버",S118923,"젤리-바다공주LED",":실버, :140",O03U07GSI140,100%
성공,dammom,"바다공주LED","실버",S118923,"젤리-바다공주LED",":실버, :140",O03U07GSI140,100%
성공,dammom,"바다공주LED","실버",S118923,"젤리-바다공주LED",":실버, :140",O03U07GSI140,100%
성공,dammom,"바다공주LED","실버",S118923,"젤리-바다공주LED",":실버, :140",O03U07GSI140,100%
성공,dammom,"바다공주LED","핑크",S118918,"젤리-바다공주LED",":핑크, :140",O03U07GPK140,100%
성공,dammom,"바다공주LED","핑크",S118918,"젤리-바다공주LED",":핑크, :140",O03U07GPK140,100%
성공,dammom,"바다공주LED","핑크",S118918,"젤리-바다공주LED",":핑크, :140",O03U07GPK140,100%
성공,dammom,"바다공주LED","핑크",S118918,"젤리-바다공주LED",":핑크, :140",O03U07GPK140,100%
성공,dammom,"바다공주LED","핑크",S118918,"젤리-바다공주LED",":핑크, :140",O03U07GPK140,100%
성공,dammom,"장화-팅클텝LED","핑크",S156040,"장화-팅클텝LED",":핑크, :150",O26SR02UPK150,100%
성공,dammom,"장화-팅클텝LED","핑크",S156040,"장화-팅클텝LED",":핑크, :150",O26SR02UPK150,100%
성공,dammom,"장화-팅클텝LED","핑크",S156040,"장화-팅클텝LED",":핑크, :150",O26SR02UPK150,100%
성공,dammom,"장화-팅클텝LED","핑크",S156040,"장화-팅클텝LED",":핑크, :150",O26SR02UPK150,100%
성공,dammom,"장화-팅클텝LED","핑크",S156040,"장화-팅클텝LED",":핑크, :150",O26SR02UPK150,100%
성공,dammom,"장화-팅클텝LED","핑크",S156040,"장화-팅클텝LED",":핑크, :150",O26SR02UPK150,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","블랙",S143149,"아쿠아-윈디에어",":블랙, :140",O43U08UBK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","핑크",S143156,"아쿠아-윈디에어",":핑크, :140",O43U08UPK140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"아쿠아-윈디에어","화이트",S143163,"아쿠아-윈디에어",":화이트, :140",O43U08USW140,100%
성공,dammom,"슬립온-과일톡톡","핑크",S143179,"슬립온-과일톡톡",":핑크, :130",O43L01UPK130,100%
성공,dammom,"슬립온-과일톡톡","핑크",S143179,"슬립온-과일톡톡",":핑크, :130",O43L01UPK130,100%
성공,dammom,"슬립온-과일톡톡","핑크",S143179,"슬립온-과일톡톡",":핑크, :130",O43L01UPK130,100%
성공,dammom,"슬립온-과일톡톡","핑크",S143179,"슬립온-과일톡톡",":핑크, :130",O43L01UPK130,100%
성공,dammom,"슬립온-과일톡톡","핑크",S143179,"슬립온-과일톡톡",":핑크, :130",O43L01UPK130,100%
성공,dammom,"슬립온-과일톡톡","핑크",S143179,"슬립온-과일톡톡",":핑크, :130",O43L01UPK130,100%
성공,dammom,"루비하트LED","퍼플",S118950,"젤리-루비하트LED",":퍼플, :140",O03U09GPU140,100%
성공,dammom,"루비하트LED","퍼플",S118950,"젤리-루비하트LED",":퍼플, :140",O03U09GPU140,100%
성공,dammom,"루비하트LED","퍼플",S118950,"젤리-루비하트LED",":퍼플, :140",O03U09GPU140,100%
성공,dammom,"루비하트LED","퍼플",S118950,"젤리-루비하트LED",":퍼플, :140",O03U09GPU140,100%
성공,dammom,"루비하트LED","퍼플",S118950,"젤리-루비하트LED",":퍼플, :140",O03U09GPU140,100%
성공,dammom,"루비하트LED","핑크",S118945,"젤리-루비하트LED",":핑크, :140",O03U09GPK140,100%
성공,dammom,"루비하트LED","핑크",S118945,"젤리-루비하트LED",":핑크, :140",O03U09GPK140,100%
성공,dammom,"루비하트LED","핑크",S118945,"젤리-루비하트LED",":핑크, :140",O03U09GPK140,100%
성공,dammom,"루비하트LED","핑크",S118945,"젤리-루비하트LED",":핑크, :140",O03U09GPK140,100%
성공,dammom,"루비하트LED","핑크",S118945,"젤리-루비하트LED",":핑크, :140",O03U09GPK140,100%
